date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:28:18	18028/18028	---M--	200	added ('OK')	text/plain	etag:%227083e2-466c-556217c0fed0f%22	http://ppdb.santa-angela.sch.id/vendor/bootstrap/fonts/glyphicons-halflings-regular.woff2	D:/a/a/ppdb.santa-angela.sch.id/vendor/bootstrap/fonts/glyphicons-halflings-regular.woff2	(from http://ppdb.santa-angela.sch.id/vendor/bootstrap/css/bootstrap.min.css)
23:28:18	20127/20127	---M--	200	added ('OK')	text/plain	etag:%227083df-4e9f-556217c0dddb7%22	http://ppdb.santa-angela.sch.id/vendor/bootstrap/fonts/glyphicons-halflings-regular.eot?	D:/a/a/ppdb.santa-angela.sch.id/vendor/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from http://ppdb.santa-angela.sch.id/vendor/bootstrap/css/bootstrap.min.css)
23:28:20	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%227083e0-1a8c2-556217c0e52e7%22	http://ppdb.santa-angela.sch.id/vendor/bootstrap/fonts/glyphicons-halflings-regular.svg	D:/a/a/ppdb.santa-angela.sch.id/vendor/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://ppdb.santa-angela.sch.id/vendor/bootstrap/css/bootstrap.min.css)
23:28:21	117152/117152	---M-Z	200	added ('OK')	text/css	etag:%22be1fda-1c9a0-5562169def577%22	http://ppdb.santa-angela.sch.id/kitkat/assets/plugins/bootstrap/css/bootstrap.min.css	D:/a/a/ppdb.santa-angela.sch.id/kitkat/assets/plugins/bootstrap/css/bootstrap.min.css	(from http://ppdb.santa-angela.sch.id/kitkat/assets/css/style.css)
23:28:22	48634/48634	---M-Z	200	added ('OK')	text/css	etag:%22be1fd9-bdfa-5562169de0347%22	http://ppdb.santa-angela.sch.id/kitkat/assets/plugins/bootstrap/css/bootstrap-rtl.min.css	D:/a/a/ppdb.santa-angela.sch.id/kitkat/assets/plugins/bootstrap/css/bootstrap-rtl.min.css	(from http://ppdb.santa-angela.sch.id/kitkat/assets/css/style.css)
23:28:22	12139/12139	---M-Z	200	added ('OK')	text/css	etag:%22dc35b6-2f6b-5562176b6c90f%22	http://ppdb.santa-angela.sch.id/kitkat/assets/plugins/mcustom-scrollbar/mcustom_scrollbar.min.css	D:/a/a/ppdb.santa-angela.sch.id/kitkat/assets/plugins/mcustom-scrollbar/mcustom_scrollbar.min.css	(from http://ppdb.santa-angela.sch.id/kitkat/assets/css/style.css)
23:28:22	53432/53432	---M-Z	200	added ('OK')	text/css	etag:%22bc44c8-d0b8-5562169d4991f%22	http://ppdb.santa-angela.sch.id/kitkat/assets/plugins/animation-css/animate.min.css	D:/a/a/ppdb.santa-angela.sch.id/kitkat/assets/plugins/animation-css/animate.min.css	(from http://ppdb.santa-angela.sch.id/kitkat/assets/css/style.css)
23:28:22	28692/28692	---M-Z	200	added ('OK')	text/css	etag:%2270716b-7014-5562165fd890f%22	http://ppdb.santa-angela.sch.id/kitkat/assets/css/icons/font-awesome/font-awesome.css	D:/a/a/ppdb.santa-angela.sch.id/kitkat/assets/css/icons/font-awesome/font-awesome.css	(from http://ppdb.santa-angela.sch.id/kitkat/assets/css/style.css)
23:28:23	32343/32343	---M-Z	200	added ('OK')	text/css	etag:%227472fa-7e57-55621671bd21f%22	http://ppdb.santa-angela.sch.id/kitkat/assets/css/icons/line-icons/line-icons.css	D:/a/a/ppdb.santa-angela.sch.id/kitkat/assets/css/icons/line-icons/line-icons.css	(from http://ppdb.santa-angela.sch.id/kitkat/assets/css/style.css)
23:28:23	11043/11043	---M-Z	200	added ('OK')	text/css	etag:%227472fb-2b23-55621671c4f1f%22	http://ppdb.santa-angela.sch.id/kitkat/assets/css/icons/line-icons/simple-line-icons.css	D:/a/a/ppdb.santa-angela.sch.id/kitkat/assets/css/icons/line-icons/simple-line-icons.css	(from http://ppdb.santa-angela.sch.id/kitkat/assets/css/style.css)
